"timestamp","dst","message"
"2019-02-24T04:21:32.665Z","192.168.102.38","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:21:02.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:44:18.665Z","192.168.100.110","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:05:45.353Z","185.121.118.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:07:32.353Z","192.168.100.26","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:28:34.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:06:57.353Z","192.168.100.4","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:08:16.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:29:58.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:09:26.353Z","185.121.118.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:34:13.665Z","192.168.110.245","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:34:41.665Z","185.121.117.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:06:57.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:36:48.665Z","192.168.100.123","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:36:57.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T21:15:09.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:40:50.665Z","192.168.100.142","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:12:40.353Z","192.168.103.145","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:12:40.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:48:15.665Z","192.168.103.196","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:46:43.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:48:00.666Z","192.168.100.4","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:50:38.666Z","192.168.100.198","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:15:43.352Z","192.168.110.245","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:15:27.353Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:54:43.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:54:29.666Z","192.168.103.238","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:59:47.665Z","192.168.103.151","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:18:32.353Z","185.121.118.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:01:55.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:06:33.666Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:11:24.353Z","192.168.111.28","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:19:57.353Z","192.168.102.61","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:08:03.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:12:33.353Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:07:33.665Z","192.168.100.4","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:45:41.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:11:51.666Z","192.168.102.91","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:13:09.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:13:49.353Z","185.121.117.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:14:03.352Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:15:42.352Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:13:51.353Z","192.168.100.198","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:44:18.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:16:28.352Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:12:42.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:16:58.353Z","185.121.118.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:46:30.665Z","192.168.102.38","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:18:49.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:20:00.353Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:26:34.353Z","192.168.102.106","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:26:32.353Z","192.168.102.106","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:15:17.665Z","192.168.102.29","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T21:17:30.665Z","192.168.110.245","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:29:48.352Z","185.121.117.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:33:25.353Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:19:14.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:18:02.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:20:33.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:32:24.353Z","192.168.102.173","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:32:26.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:32:26.353Z","192.168.102.173","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:22:27.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:25:50.665Z","192.168.100.198","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:25:06.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:32:35.665Z","192.168.100.198","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:37:47.353Z","192.168.103.196","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:37:31.353Z","192.168.103.151","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:36:07.665Z","192.168.102.106","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:38:08.353Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:36:40.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:36:46.665Z","192.168.100.198","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:20:58.353Z","192.168.111.136","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:20:58.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T21:18:37.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:43:59.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:43:25.665Z","192.168.103.139","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:26:01.353Z","192.168.110.184","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:25:43.353Z","192.168.111.157","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:44:34.665Z","192.168.103.138","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:28:38.353Z","192.168.100.198","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:48:19.665Z","192.168.134.58","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:45:24.353Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:46:30.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:50:28.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:48:04.353Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:53:48.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T05:55:39.666Z","192.168.102.91","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:00:59.665Z","192.168.103.138","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T21:19:43.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:03:45.665Z","192.168.103.151","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:03:40.665Z","192.168.103.170","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:52:32.357Z","192.168.103.151","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:05:43.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:54:05.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:10:16.665Z","192.168.100.128","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:49:17.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:49:17.665Z","192.168.103.19","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:10:44.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:10:44.665Z","192.168.100.4","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:17:31.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:17:52.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:17:52.666Z","192.168.100.4","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:19:28.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:21:37.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:22:39.665Z","192.168.103.19","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:23:15.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:23:21.665Z","192.168.102.21","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T04:59:37.353Z","192.168.110.253","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:26:16.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:31:04.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T05:01:53.353Z","192.168.100.198","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:33:12.666Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:36:04.665Z","192.168.102.91","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:36:04.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:35:51.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:38:31.666Z","192.168.103.170","ET POLICY Dropbox.com Offsite File Backup in Use"
